Time_t;theoretical
2017-05-11 09:30;-1.38404921191502
2017-05-11 09:45;-1.21292274570632
2017-05-11 10:00;-1.37622604603945
2017-05-11 10:15;-0.964536526855632
2017-05-11 10:30;-1.41232990538551
2017-05-11 10:45;-1.64592741013952
2017-05-11 11:00;-1.49567656200693
2017-05-11 11:15;-1.61475915026467
2017-05-11 11:30;-1.57083671096675
2017-05-11 11:45;-0.67839537407869
2017-05-11 12:00;-1.69325197804267
2017-05-11 12:15;-1.53079979533585
2017-05-11 12:30;-1.24808167300956
2017-05-11 12:45;-1.78221089621916
2017-05-11 13:30;-1.42488166257999
2017-05-11 13:45;-1.73142267538475
2017-05-11 14:00;-1.74937079052679
2017-05-11 14:15;-2.01712829095197
2017-05-11 14:30;-1.76287868756513
2017-05-11 14:45;-1.50249611668678
2017-05-11 15:00;-2.36838733092812
2017-05-11 15:15;-1.58103882086125
2017-05-11 15:30;-1.67484291046475
2017-05-11 15:45;-2.03533024827728
2017-05-11 16:00;-1.93339634207458
2017-05-11 16:15;-2.01087152034775
2017-05-11 16:30;-2.16046269933037
2017-05-11 16:45;-2.07577850016121
2017-05-11 17:00;-2.20823042454021
2017-05-11 17:15;-1.43109203914904
2017-05-11 17:30;-1.39009577390072
2017-05-11 17:45;-1.2064153421645
2017-05-11 18:00;-0.948283152254731
2017-05-11 18:15;-0.394174334999299
2017-05-11 18:30;-0.0734489770074376
2017-05-11 18:45;0.417716408931859
2017-05-11 19:00;0.223187459892323
2017-05-11 19:15;0.665549356744741
2017-05-11 19:30;0.533302306805943
2017-05-11 19:45;1.0477629870819
2017-05-11 20:00;0.782497592636823
2017-05-11 20:15;1.27286740645707
2017-05-11 20:30;0.98644442180823
2017-05-11 20:45;0.930915109991624
2017-05-11 21:00;0.913824718228071
2017-05-11 21:15;1.03692801309809
2017-05-11 21:30;1.1754606612903
2017-05-11 21:45;1.13748430465325
2017-05-11 22:00;0.824678494389062
2017-05-11 22:15;1.03207999221687
2017-05-11 22:30;0.861222269439999
2017-05-11 22:45;0.862551066712903
2017-05-11 23:00;0.809865159997983
2017-05-11 23:15;0.738475812959166
2017-05-11 23:30;0.78707905090868
2017-05-11 23:45;0.867578971820343
