Time;Atm_pressure;Temperature;Humidity;Displacement
09.05.2017 22:00;1015.27001953;1.45000005;94.02999878;0
09.05.2017 23:00;1015.27001953;0.92000002;96.33000183;0.0360594953472102
10.05.2017 00:00;1014.75;0.34999999;96.09999847;-0.0798570520949085
10.05.2017 01:00;1014.67999268;-0.38;96.83000183;-0.146116300323115
10.05.2017 02:00;1014.45001221;-0.56999999;96.90000153;-0.176960966103337
10.05.2017 03:00;1014.38000488;-1.04999995;97.19999695;-0.22484411909408
10.05.2017 04:00;1014.59997559;-0.30000001;96.69999695;-0.14526163454719
10.05.2017 05:00;1014.45001221;0.18000001;95.75;-0.132733593249718
10.05.2017 06:00;1014.45001221;4.46999979;91.69999695;0.367373623155217
10.05.2017 07:00;1014.15002441;7.55000019;67.94999695;-0.708208244007807
10.05.2017 08:00;1013.63000488;8.52000046;58.66999817;-1.30750675053483
10.05.2017 09:00;1013.47998047;8.72999954;52.81999969;-1.75902373089209
10.05.2017 10:00;1012.95001221;9.77999973;47.29999924;-2.13598754969096
10.05.2017 11:00;1012.20001221;10.56999969;42.45000076;-2.52662076193319
10.05.2017 12:00;1012.20001221;9.30000019;49.41999817;-2.03383607797409
10.05.2017 13:00;1011.82000732;10.06999969;47.11999893;-2.17104706777612
10.05.2017 14:00;1011.29998779;10.44999981;50.22999954;-1.8753877870418
10.05.2017 15:00;1011;10.30000019;45.63000107;-2.31501606567738
10.05.2017 16:00;1010.77001953;10.44999981;49.34999847;-1.97655327866458
10.05.2017 17:00;1010.47998047;10.06999969;50.79999924;-1.90427772486826
10.05.2017 18:00;1010.17999268;8.47999954;61.45000076;-1.23654242284561
10.05.2017 19:00;1010.17999268;6.17999983;74.5;-0.627348848167607
10.05.2017 20:00;1010.09997559;5.46999979;78.43000031;-0.483757265897538
10.05.2017 21:00;1010.0300293;3.9000001;86.51999664;-0.245090534441623
10.05.2017 22:00;1009.86999512;3.6500001;84.30000305;-0.425565978631248
10.05.2017 23:00;1009.79998779;2.95000005;87.19999695;-0.37167201368257
