Time;Atm_pressure;Temperature;Humidity;Displacement
2017-05-18 02:45;1020.66998291;7.69999981;97.37000275;1.82808546711576
2017-05-18 03:00;1020.66998291;7.30000019;97.30000305;1.70522514321207
2017-05-18 03:15;1020.75;7.55000019;98.18000031;1.8478945381032
2017-05-18 03:30;1020.75;7.6500001;97.55000305;1.83018426710133
2017-05-18 03:45;1020.75;8.44999981;97.06999969;2.0389723073099
2017-05-18 04:00;1020.66998291;9.5;94.84999847;2.19402910049472
2017-05-18 04:15;1020.75;10.27999973;92.40000153;2.24712258393391
2017-05-18 04:30;1020.75;10.94999981;89.80000305;2.24055311836013
2017-05-18 04:45;1020.75;11.5;86.87000275;2.15362857982238
2017-05-18 05:00;1020.66998291;11.80000019;85.15000153;2.08669507221106
2017-05-18 05:15;1020.66998291;12.86999989;84.48000336;2.39564749125545
2017-05-18 05:30;1020.5300293;13.75;80;2.23192541816424
2017-05-18 05:45;1020.66998291;14.35000038;78.66999817;2.30781277005063
2017-05-18 06:00;1020.75;14.5;76.08000183;2.07148648797845
2017-05-18 06:15;1020.75;15.44999981;76.22000122;2.43558828883327
2017-05-18 06:30;1020.45001221;15.94999981;74.33000183;2.38227535954647
2017-05-18 06:45;1020.5300293;16.70000076;71.34999847;2.29265750833823
2017-05-18 07:00;1020.5300293;16.70000076;71.34999847;2.29265750833823
2017-05-18 07:15;1020.38000488;17.85000038;66.52999878;2.07416763297082
2017-05-18 07:30;1020.2199707;18.64999962;61.52000046;1.65097117937135
2017-05-18 07:45;1020.15002441;19.12000084;58.93000031;1.43306125922425
2017-05-18 08:00;1019.91998291;19.29999924;59.86999893;1.62600310491729
2017-05-18 08:15;1019.84997559;19.92000008;58.25;1.59688550174295
2017-05-18 08:30;1019.77001953;21.06999969;51.77999878;0.953422900790009
2017-05-18 08:45;1019.54998779;21.14999962;46.81999969;0.15064582039421
2017-05-18 09:00;1019.33001709;21.60000038;50.09999847;0.82677791523691
2017-05-18 09:15;1019.33001709;22.10000038;46.63000107;0.386566769080531
2017-05-18 09:30;1019.02001953;22.56999969;46.72000122;0.533847622230169
2017-05-18 09:45;1018.79998779;22.64999962;46.29999924;0.474694153564705
2017-05-18 10:00;1018.65002441;22.39999962;47.29999924;0.568959085329425
2017-05-18 10:15;1018.5;22.87999916;41.68000031;-0.304481957228084
2017-05-18 10:30;1018.41998291;23.25;45.20000076;0.445169283152687
2017-05-18 10:45;1018.34997559;22.95000076;41.72000122;-0.284317838563162
2017-05-18 11:00;1018.20001221;23.45000076;45.20000076;0.499061619735137
2017-05-18 11:15;1018.04998779;23.31999969;42.5;-0.0497463153240005
2017-05-18 11:30;1017.90002441;23.25;43.5;0.109494011068875
2017-05-18 11:45;1017.90002441;23.75;42.04999924;-0.0165074024715395
2017-05-18 12:00;1017.75;23.85000038;41.09999847;-0.175075278615751
2017-05-18 12:15;1017.75;24.03000069;42.04999924;0.0595377808665845
2017-05-18 12:30;1017.52001953;24.04999924;43.08000183;0.255378671013347
2017-05-18 12:45;1017.38000488;24.10000038;40.86999893;-0.163176676183127
2017-05-18 13:00;1017.38000488;23.89999962;42.33000183;0.0601641066451819
2017-05-18 13:15;1017.29998779;23.93000031;43.02000046;0.198389209615677
2017-05-18 13:30;1017.08001709;24.10000038;43.08000183;0.25318645421217
2017-05-18 13:45;1017.08001709;24.39999962;39.56999969;-0.344708282491695
2017-05-18 14:00;1016.92999268;24.32999992;41.65000153;0.0380273304601033
2017-05-18 14:15;1016.77001953;24.20000076;44.33000183;0.515286777060581
2017-05-18 14:30;1016.77001953;24.20000076;46.72000122;0.980983078263662
2017-05-18 14:45;1016.63000488;23.82999992;46.81999969;0.867327287234531
2017-05-18 15:00;1016.4699707;23.82999992;44.84999847;0.484568152051288
2017-05-18 15:15;1016.40002441;23.64999962;45.41999817;0.532286218606984
2017-05-18 15:30;1016.17999268;23.54999924;47.02999878;0.794375737530338
2017-05-18 15:45;1016.09997559;23.31999969;46.38000107;0.593534515061712
2017-05-18 16:00;1016.17999268;23.10000038;47.02999878;0.645215462312322
2017-05-18 16:15;1016.02001953;22.89999962;49.45000076;1.01381385034462
2017-05-18 16:30;1016.09997559;22.56999969;48;0.645244883156273
2017-05-18 16:45;1016.17999268;22.10000038;48.77000046;0.632518632142336
2017-05-18 17:00;1016.02001953;21.79999924;48.20000076;0.433068557564489
2017-05-18 17:15;1015.88000488;21.42000008;48.45000076;0.353351412948221
2017-05-18 17:30;1016.02001953;20.67000008;52.31999969;0.760533949859422
2017-05-18 17:45;1015.88000488;20.10000038;53.15000153;0.704570278951692
2017-05-18 18:00;1016.02001953;19.62000084;54.25;0.728145625263274
