;lower full_h;upper full_h
2017-05-28 23:00:00;2.5531275828203523;4.726914630778014
2017-05-29 00:00:00;2.16408851141271;4.946760466786798
2017-05-29 01:00:00;1.8063208571744904;5.038329658869509
2017-05-29 02:00:00;1.5628656834555152;5.149806379073057
2017-05-29 03:00:00;1.3002587985167129;5.177571028790932
2017-05-29 04:00:00;1.2470750152914145;5.367089296239447
2017-05-29 05:00:00;1.4530610485479016;5.778879274505625
2017-05-29 06:00:00;1.0816281624490163;5.583771279236344
2017-05-29 07:00:00;0.7573552716042635;5.411735772513472
2017-05-29 08:00:00;0.361682224485782;5.148287392090302
2017-05-29 09:00:00;-0.05942930888042941;4.842560211352445
2017-05-29 10:00:00;-0.3906931000646776;4.612367962857833
2017-05-29 11:00:00;-0.8347523467732925;4.257118352370881
2017-05-29 12:00:00;-0.9686963626051559;4.201410993282287
2017-05-29 13:00:00;-0.7854552225677227;4.453723540766914
2017-05-29 14:00:00;-1.1242231314525577;4.1760469139557905
2017-05-29 15:00:00;-0.8026410448449002;4.551746227994164
2017-05-29 16:00:00;-0.9393612033052059;4.46302932745326
2017-05-29 17:00:00;-1.0122722341388477;4.432747256986762
2017-05-29 18:00:00;-0.5574201660787108;4.9254933433387045
2017-05-29 19:00:00;-0.05550058741167163;5.4611270554682125
2017-05-29 20:00:00;0.2554265427649911;5.802072121075081
2017-05-29 21:00:00;0.24895327049861393;5.822343452060023
2017-05-29 22:00:00;0.19901079820645018;5.796242989390576
2017-05-29 23:00:00;0.20781755959958925;5.849029752284859
2017-05-30 00:00:00;0.13853898479484217;5.814773730046477
2017-05-30 01:00:00;0.020916269648372676;5.728332197947085
2017-05-30 02:00:00;-0.029563297988875803;5.705632287483562
2017-05-30 03:00:00;-0.1315448706792135;5.628414389810315
2017-05-30 04:00:00;-0.048092883016066956;5.733952859695356
2017-05-30 05:00:00;0.27585605483823805;6.077609440109265
2017-05-30 06:00:00;0.00736697004240483;5.82671240273549
2017-05-30 07:00:00;-0.22632998980848518;5.608724551730713
2017-05-30 08:00:00;-0.5417926105242863;5.307294027370578
2017-05-30 09:00:00;-0.891499984738894;4.970124240807499
2017-05-30 10:00:00;-1.1589222609094467;4.713906974940406
2017-05-30 11:00:00;-1.545691525818734;4.337153966878414
2017-05-30 12:00:00;-1.6280620768308127;4.2637387754406175
2017-05-30 13:00:00;-1.3982654434179782;4.501543623087351
2017-05-30 14:00:00;-1.6949051170692513;4.212066293579226
2017-05-30 15:00:00;-1.3351179598199425;4.578260148656845
2017-05-30 16:00:00;-1.437122689534211;4.481986893707434
2017-05-30 17:00:00;-1.4784326125636698;4.445804945372297
2017-05-30 18:00:00;-0.9947669489744175;4.934059075879538
2017-05-30 19:00:00;-0.46653529031997154;5.466396811080598
2017-05-30 20:00:00;-0.1315462125402087;5.805060574094089
2017-05-30 21:00:00;-0.11598585341232148;5.8239097775446655
2017-05-30 22:00:00;-0.14572661029596157;5.7971127193186085
2017-05-30 23:00:00;-0.11217361857566521;5.843611376194547
2017-05-31 00:00:00;-0.15980463750009388;5.8051751274532695
2017-05-31 01:00:00;-0.2576829703658512;5.715518931395289
2017-05-31 02:00:00;-0.2901282601764188;5.6904271794446615
2017-05-31 03:00:00;-0.3756154113817338;5.611517642152929
2017-05-31 04:00:00;-0.27705822980206296;5.715959116475682
2017-05-31 05:00:00;0.06074034557891972;6.059022325847202
2017-05-31 06:00:00;-0.19503571434856903;5.80795696040753
2017-05-31 07:00:00;-0.4170501639453801;5.590157921896443
2017-05-31 08:00:00;-0.7217659386769308;5.289214645607972
2017-05-31 09:00:00;-1.0615771636200313;4.952779780290011
2017-05-31 10:00:00;-1.3198777304659075;4.697501221164454
2017-05-31 11:00:00;-1.6982311688429117;4.321852779767366
2017-05-31 12:00:00;-1.7728300423352459;4.249675268477793
2017-05-31 13:00:00;-1.5358502076954057;4.488822668394059
2017-05-31 14:00:00;-1.8258448791556054;4.200768444917736
2017-05-31 15:00:00;-1.4599054538982597;4.568445060412952
2017-05-31 16:00:00;-1.5562094850536141;4.473696302384151
2017-05-31 17:00:00;-1.5922329630287408;4.439065270535089
2017-05-31 18:00:00;-1.1036612421165495;4.928883689465292
2017-05-31 19:00:00;-0.5708731454039664;5.462788017228153
2017-05-31 20:00:00;-0.23164926465587943;5.803011335943634
2017-05-31 21:00:00;-0.2121502595685718;5.82340522260367
