;0
2017-05-28 23:00:00;3.640021106799183
2017-05-29 00:00:00;3.555424489099754
2017-05-29 01:00:00;3.4223252580219996
2017-05-29 02:00:00;3.3563360312642865
2017-05-29 03:00:00;3.2389149136538222
2017-05-29 04:00:00;3.307082155765431
2017-05-29 05:00:00;3.6159701615267634
2017-05-29 06:00:00;3.33269972084268
2017-05-29 07:00:00;3.084545522058868
2017-05-29 08:00:00;2.754984808288042
2017-05-29 09:00:00;2.3915654512360076
2017-05-29 10:00:00;2.110837431396578
2017-05-29 11:00:00;1.7111830027987944
2017-05-29 12:00:00;1.6163573153385655
2017-05-29 13:00:00;1.8341341590995954
2017-05-29 14:00:00;1.5259118912516165
2017-05-29 15:00:00;1.874552591574632
2017-05-29 16:00:00;1.7618340620740267
2017-05-29 17:00:00;1.7102375114239572
2017-05-29 18:00:00;2.184036588629997
2017-05-29 19:00:00;2.7028132340282705
2017-05-29 20:00:00;3.0287493319200363
2017-05-29 21:00:00;3.0356483612793186
2017-05-29 22:00:00;2.997626893798513
2017-05-29 23:00:00;3.028423655942224
2017-05-30 00:00:00;2.97665635742066
2017-05-30 01:00:00;2.874624233797729
2017-05-30 02:00:00;2.838034494747343
2017-05-30 03:00:00;2.7484347595655505
2017-05-30 04:00:00;2.8429299883396446
2017-05-30 05:00:00;3.1767327474737517
2017-05-30 06:00:00;2.9170396863889474
2017-05-30 07:00:00;2.691197280961114
2017-05-30 08:00:00;2.382750708423146
2017-05-30 09:00:00;2.0393121280343025
2017-05-30 10:00:00;1.7774923570154797
2017-05-30 11:00:00;1.3957312205298398
2017-05-30 12:00:00;1.3178383493049024
2017-05-30 13:00:00;1.5516390898346866
2017-05-30 14:00:00;1.2585805882549874
2017-05-30 15:00:00;1.6215710944184516
2017-05-30 16:00:00;1.5224321020866118
2017-05-30 17:00:00;1.4836861664043135
2017-05-30 18:00:00;1.96964606345256
2017-05-30 19:00:00;2.499930760380313
2017-05-30 20:00:00;2.83675718077694
2017-05-30 21:00:00;2.853961962066172
2017-05-30 22:00:00;2.8256930545113237
2017-05-30 23:00:00;2.8657188788094405
2017-05-31 00:00:00;2.822685244976588
2017-05-31 01:00:00;2.728917980514719
2017-05-31 02:00:00;2.7001494596341216
2017-05-31 03:00:00;2.6179511153855977
2017-05-31 04:00:00;2.7194504433368096
2017-05-31 05:00:00;3.0598813357130608
2017-05-31 06:00:00;2.806460623029481
2017-05-31 07:00:00;2.5865538789755314
2017-05-31 08:00:00;2.2837243534655203
2017-05-31 09:00:00;1.9456013083349897
2017-05-31 10:00:00;1.688811745349273
2017-05-31 11:00:00;1.3118108054622273
2017-05-31 12:00:00;1.2384226130712732
2017-05-31 13:00:00;1.4764862303493267
2017-05-31 14:00:00;1.187461782881065
2017-05-31 15:00:00;1.5542698032573459
2017-05-31 16:00:00;1.4587434086652684
2017-05-31 17:00:00;1.4234161537531742
2017-05-31 18:00:00;1.9126112236743713
2017-05-31 19:00:00;2.445957435912093
2017-05-31 20:00:00;2.7856810356438775
2017-05-31 21:00:00;2.8056274815175493
