Time;Atm_pressure;Temperature;Humidity
2017-05-10 21:30;1009.86999512;4.25;81.80000305
2017-05-10 21:45;1009.86999512;3.9000001;83.33000183
2017-05-10 22:00;1009.86999512;3.6500001;84.30000305
2017-05-10 22:15;1009.79998779;3.81999993;81.30000305
2017-05-10 22:30;1009.86999512;3.06999993;87.75
2017-05-10 22:45;1009.79998779;2.98000002;87.59999847
2017-05-10 23:00;1009.79998779;2.95000005;87.19999695
2017-05-10 23:15;1009.72998047;3.1500001;86.44999695
2017-05-10 23:30;1009.57000732;3.1500001;87.34999847
2017-05-10 23:45;1009.5;3;87.93000031
2017-05-11 00:00;1009.2800293;3.22000003;87.25
2017-05-11 00:15;1009.2800293;3.38000011;85.94999695
2017-05-11 00:30;1009.20001221;3.45000005;85.19999695
2017-05-11 00:45;1009.20001221;3.31999993;85.52999878
2017-05-11 01:00;1008.97998047;3.22000003;85.77999878
2017-05-11 01:15;1008.90002441;2.79999995;87.30000305
2017-05-11 01:30;1008.75;2.5999999;89
2017-05-11 01:45;1008.75;2.4000001;90.05000305
2017-05-11 02:00;1008.59997559;2.23000002;89.5
2017-05-11 02:15;1008.45001221;2.13000011;89.59999847
2017-05-11 02:30;1008.36999512;2.0999999;91.09999847
2017-05-11 02:45;1008.36999512;1.91999996;90.43000031
2017-05-11 03:00;1008.36999512;1.39999998;93.02999878
2017-05-11 03:15;1008.45001221;2.17000008;92.47000122
2017-05-11 03:30;1008.66998291;1.54999995;93.34999847
2017-05-11 03:45;1008.45001221;2.01999998;92.97000122
2017-05-11 04:00;1008.59997559;2.75;92.59999847
2017-05-11 04:15;1008.66998291;3;90.73000336
2017-05-11 04:30;1008.66998291;4.67999983;89.19999695
2017-05-11 04:45;1008.45001221;5.55000019;81.87999725
2017-05-11 05:00;1008.45001221;6.55000019;78.12999725
2017-05-11 05:15;1008.59997559;7.19999981;77.19999695
2017-05-11 05:30;1008.59997559;8.38000011;74.62000275
2017-05-11 05:45;1008.45001221;9.52999973;71.16999817
2017-05-11 06:00;1008.45001221;10.60000038;63.27000046
2017-05-11 06:15;1008.45001221;12.07999992;57.29999924
2017-05-11 06:30;1008.45001221;13.47999954;54.02999878
2017-05-11 06:45;1008.45001221;14.56999969;52.13000107
2017-05-11 07:00;1008.66998291;15.38000011;48.47000122
2017-05-11 08:00;1008.36999512;17.20000076;46.52999878
2017-05-11 08:15;1008.29998779;17.54999924;46.81999969
2017-05-11 08:30;1008.15002441;16.71999931;50.41999817
2017-05-11 08:45;1008.29998779;17.37000084;47.11999893
2017-05-11 09:00;1008.15002441;17.20000076;46.65000153
2017-05-11 09:15;1008;17.12000084;47.25
2017-05-11 09:30;1008.07000732;17.29999924;45.90000153
2017-05-11 09:45;1007.84997559;17.54999924;46.84999847
2017-05-11 10:00;1007.61999512;17.20000076;46.25
2017-05-11 10:15;1007.54998779;18.37000084;47.40000153
2017-05-11 10:30;1007.54998779;18.25;44.41999817
2017-05-11 10:45;1007.32000732;18.21999931;42.86999893
2017-05-11 11:00;1007.16998291;18.82999992;43.09999847
2017-05-11 11:15;1007.0300293;19.52000046;41.36999893
2017-05-11 11:30;1007.16998291;18.45000076;43.11999893
2017-05-11 11:45;1007.25;19.32999992;47.83000183
2017-05-11 12:00;1007.16998291;19.62000084;40.68000031
2017-05-11 12:15;1007.0300293;20.07999992;41.15000153
2017-05-11 12:30;1006.86999512;19.29999924;44.16999817
2017-05-11 12:45;1006.72998047;19.39999962;40.5
2017-05-11 13:30;1006.41998291;19.77000046;42.43000031
2017-05-11 13:45;1006.41998291;19.77000046;40.43000031
2017-05-11 14:00;1006.41998291;20.20000076;39.75
2017-05-11 14:15;1006.2800293;20.20000076;38.08000183
2017-05-11 14:30;1006.2800293;20.20000076;39.70000076
