Time_o;observed
2017-05-10 15:17;-0.019688
2017-05-10 15:27;-0.120643
2017-05-10 15:37;0.007804
2017-05-10 15:47;-0.093009
2017-05-10 15:57;0.068819
2017-05-10 16:07;-0.057594
2017-05-10 16:17;-0.013499
2017-05-10 16:27;-0.209264
2017-05-10 16:37;0.001269
2017-05-10 16:47;-0.024465
2017-05-10 16:57;-0.167391
2017-05-10 17:07;0.119999
2017-05-10 17:17;0.261992
2017-05-10 17:27;0.015588
2017-05-10 17:37;0.051209
2017-05-10 17:47;-0.076516
2017-05-10 17:56;-0.113373
2017-05-10 18:06;-0.262151
2017-05-10 18:16;-0.067217
2017-05-10 18:26;-0.268392
2017-05-10 18:36;-0.131243
2017-05-10 18:46;0.032474
2017-05-10 18:56;-0.066323
2017-05-10 19:06;-0.032175
2017-05-10 19:16;-0.032434
2017-05-10 19:26;0.088448
2017-05-10 19:36;0.107735
2017-05-10 19:46;0.132255
2017-05-10 19:56;0.361438
2017-05-10 20:06;0.55909
2017-05-10 20:16;0.340616
2017-05-10 20:26;0.470062
2017-05-10 20:36;0.665265
2017-05-10 20:45;0.602959
2017-05-10 20:55;0.71107
2017-05-10 21:05;0.699132
2017-05-10 21:15;0.62428
2017-05-10 21:25;0.654291
2017-05-10 21:35;0.646697
2017-05-10 21:45;0.793852
2017-05-10 21:55;0.928392
2017-05-10 22:05;0.845685
2017-05-10 22:15;0.740765
2017-05-10 22:25;0.772962
2017-05-10 22:35;0.931918
2017-05-10 22:45;0.922259
2017-05-10 22:55;0.999571
2017-05-10 23:05;0.960854
2017-05-10 23:15;0.852806
2017-05-10 23:25;0.885126
2017-05-10 23:35;1.012739
2017-05-10 23:45;0.94107
2017-05-10 23:55;0.871416
2017-05-11 00:04;0.885952
2017-05-11 00:14;0.981159
2017-05-11 00:24;0.971708
2017-05-11 00:34;0.920177
2017-05-11 00:44;0.889818
2017-05-11 00:54;0.905551
2017-05-11 01:04;0.86222
2017-05-11 01:14;0.874604
2017-05-11 01:24;0.896915
2017-05-11 01:34;0.88812
2017-05-11 01:44;0.861617
2017-05-11 01:54;0.847901
2017-05-11 02:04;0.842894
2017-05-11 02:14;0.814698
2017-05-11 02:24;0.794231
2017-05-11 02:34;0.77754
2017-05-11 02:44;0.779237
2017-05-11 02:54;0.803506
2017-05-11 03:04;0.796296
2017-05-11 03:14;0.812614
2017-05-11 03:23;0.812893
2017-05-11 03:33;0.830957
2017-05-11 03:43;0.832111
2017-05-11 03:53;0.81948
2017-05-11 04:03;0.805763
2017-05-11 04:14;0.78312
2017-05-11 04:24;0.844538
2017-05-11 04:34;0.839798
2017-05-11 04:44;0.876205
2017-05-11 04:54;0.889122
2017-05-11 05:04;0.902194
2017-05-11 05:14;1.004991
2017-05-11 05:24;1.031918
2017-05-11 05:34;1.027566
2017-05-11 05:44;1.021062
2017-05-11 05:54;0.980223
2017-05-11 06:04;0.987626
2017-05-11 06:13;1.052527
2017-05-11 06:23;1.055065
2017-05-11 06:33;1.043554
2017-05-11 06:43;0.991031
2017-05-11 06:53;0.971377
2017-05-11 07:03;1.067059
2017-05-11 07:13;1.158254
2017-05-11 07:23;1.122024
2017-05-11 07:33;1.211553
2017-05-11 07:43;0.962157
2017-05-11 07:53;0.86048
2017-05-11 08:03;0.889513
2017-05-11 08:13;0.794314
2017-05-11 08:23;0.71739
2017-05-11 08:32;0.635397
2017-05-11 08:42;0.67438
2017-05-11 08:52;0.7762
2017-05-11 09:02;0.742661
2017-05-11 09:12;0.727828
2017-05-11 09:22;0.697963
2017-05-11 09:32;0.672278
2017-05-11 09:42;0.746838
2017-05-11 09:52;0.449399
2017-05-11 10:02;0.42598
2017-05-11 10:12;0.477049
2017-05-11 10:22;0.618157
2017-05-11 10:32;0.241147
2017-05-11 10:42;0.356517
2017-05-11 10:52;0.371298
2017-05-11 11:01;0.494858
2017-05-11 11:11;0.050395
2017-05-11 11:21;0.296388
2017-05-11 11:31;0.08698
2017-05-11 11:41;0.161042
2017-05-11 11:51;0.029472
2017-05-11 12:01;0.214267
2017-05-11 12:11;0.154571
2017-05-11 12:21;0.236688
2017-05-11 12:31;0.450864
2017-05-11 12:41;0.52345
2017-05-11 12:51;0.033619
2017-05-11 13:01;-0.017988
2017-05-11 13:11;0.055475
2017-05-11 13:21;0.165056
2017-05-11 13:31;0.007297
2017-05-11 13:41;0.160193
2017-05-11 13:51;0.124826
2017-05-11 14:01;0.23284
2017-05-11 14:11;0.361004
2017-05-11 14:21;0.2271
2017-05-11 14:31;0.126143
2017-05-11 14:41;0.010283
2017-05-11 14:51;0.009992
2017-05-11 15:01;-0.028563
2017-05-11 15:11;-0.000404
2017-05-11 15:21;-0.079624
2017-05-11 15:30;-0.270954
2017-05-11 15:40;0.002059
2017-05-11 15:50;-0.096496
2017-05-11 16:00;-0.561104
2017-05-11 16:10;-0.344875
2017-05-11 16:20;-0.506283
2017-05-11 16:30;-0.539254
2017-05-11 16:40;-0.375168
2017-05-11 16:50;-0.411782
2017-05-11 17:00;-0.484776
2017-05-11 17:10;-0.452579
2017-05-11 17:20;-0.48455
2017-05-11 17:30;-0.451776
2017-05-11 17:40;-0.667595
2017-05-11 17:50;-0.558375
2017-05-11 18:00;-0.348488
2017-05-11 18:10;-0.530099
2017-05-11 18:20;-0.857341
2017-05-11 18:30;-0.527545
2017-05-11 18:40;-0.909429
2017-05-11 18:49;-0.948942
2017-05-11 18:59;-0.931777
2017-05-11 19:09;-0.752255
2017-05-11 19:19;-0.580387
2017-05-11 19:29;0.134728
2017-05-11 19:39;0.329161
2017-05-11 19:49;0.48803
2017-05-11 19:59;0.552921
2017-05-11 20:09;0.597633
2017-05-11 20:19;0.928174
2017-05-11 20:29;0.867251
2017-05-11 20:39;1.105382
2017-05-11 20:49;0.876427
2017-05-11 20:59;0.990338
2017-05-11 21:09;1.305819
2017-05-11 21:19;1.113957
2017-05-11 21:29;1.31279
2017-05-11 21:39;1.328513
